Община,Населено място,Адрес,lat,lon
Турция,Люлебургаз,Люлебургаз 2,41.402742,27.365646
Турция,Маниса,Маниса,38.6140337,27.4295624
Турция,Маниса,"Маниса, кв. Акмесчит",38.6140337,27.4295624
Турция,Маниса,"Маниса, общ. Шехзаделер, кв. Караагачлъ",38.6140337,27.4295624
Турция,Мармарис,Мармарис,36.854936,28.270878
Турция,Мерсин,Мерсин,36.8121041,34.6414811
Турция,Муратлъ,Муратлъ,41.17261999999999,27.49633
Турция,"Коджаели, Измит","обл. Коджаели, гр. Измит",40.7654408,29.9408089
Турция,"Коджаели, Даръджа","обл. Коджаели, общ. Даръджа",40.8532704,29.8815203
Турция,"Коджаели, Дериндже","обл. Коджаели, общ. Дериндже",40.756189,29.830918
Турция,"Коджаели, Карамюрсел","обл. Коджаели, общ. Карамюрсел",40.691274,29.616418
Турция,"Коджаели, Кьорфез","обл. Коджаели, общ. Кьорфез",40.776382,29.737718
Турция,"Коджаели, Чайърова","обл. Коджаели, общ. Чайърова 1",40.8532704,29.8815203
Турция,"Коджаели, Чайърова","обл. Коджаели, общ. Чайърова 2",40.8532704,29.8815203
Турция,"Сакария, Сердиван","обл. Сакария, общ. Сердиван",40.7730743,30.3948169
Турция,"Сакария, Феризли","обл. Сакария, общ. Феризли",40.9936714,30.4864794
Турция,"Текирдаг, Ергене","обл. Текирдаг, гр. Ергене (Йешилтепе 1)",41.19131174086687,26.74335618704928
Турция,"Текирдаг, Ергене","обл. Текирдаг, гр. Ергене (Йешилтепе 2)",41.19131174086687,26.74335618704928
Турция,"Текирдаг, Ергене","обл. Текирдаг, гр. Ергене (Мармараджък)",40.9780919,27.511674
Турция,"Текирдаг, Ергене","обл. Текирдаг, гр. Ергене (Саглък 1)",40.9780919,27.511674
Турция,"Текирдаг, Ергене","обл. Текирдаг, гр. Ергене (Саглък 2)",40.9780919,27.511674
Турция,"Текирдаг, Ергене","обл. Текирдаг, гр. Ергене (Улаш)",41.19131174086687,26.74335618704928
Турция,Одрин,Одрин 1 (Генерално консулство),41.67712969999999,26.5557145
Турция,Одрин,"Одрин - 2, Йъл Илкокулу",41.67712969999999,26.5557145
Турция,Сарай,Сарай,38.4909268,44.1966546
Турция,Текирдаг,Текирдаг,40.9780919,27.511674
Турция,Ушак,Ушак,38.6742286,29.4058825
Турция,Чанаккале,"Чанаккале, Меркез",40.14671999999999,26.408587
Турция,Чанаккале,"Чанаккале, общ. Гьокчеада",40.14671999999999,26.408587
Турция,Черкезкьой,Черкезкьой,41.28236,28.00059
Турция,"Чорлу, Румели","Чорлу, кв. Румели",41.1444456,27.8150234
Турция,"Чорлу, Хавузлар","Чорлу, кв. Хавузлар 1",41.1280686,27.7930401
Турция,"Чорлу, Хавузлар","Чорлу, кв. Хавузлар 2",41.1280686,27.7930401
Турция,"Чорлу, Хавузлар","Чорлу, кв. Хавузлар 3",41.1280686,27.7930401
Турция,"Чорлу, Шейхсинан","Чорлу, кв. Шейхсинан 1",41.155812,27.8137319
Турция,"Чорлу, Шейхсинан","Чорлу, кв. Шейхсинан 2",41.155812,27.8137319
Турция,"Чорлу, Шейхсинан","Чорлу, кв. Шейхсинан 3",41.155812,27.8137319
Турция,"Чорлу, Шейхсинан","Чорлу, кв. Шейхсинан 4",41.155812,27.8137319
Турция,"Чорлу, Шейхсинан","Чорлу, кв. Шейхсинан 5",41.155812,27.8137319
Турция,Ялова,Ялова 1,40.654895,29.284186
Турция,Ялова,Ялова 2,40.654895,29.284186
Турция,Ялова,"Ялова, Алтънова (Субашъ)",40.654895,29.284186
Турция,Ялова,"Ялова, Чифтликкьой",40.654895,29.284186
